
,N1376,N1278,N120,N2489,N144,N2051,N1517,N2720,N258,N2382,N2191,N2783,N2762,N1157,N78,N1062,N89,N2992,N2784,N3058,N1103,N2921,N2772,N359,N1886,N391,N1632,N2018,N2324,N2330,N2821,N2826,N3301,N432,N2361,N2666,N2681,N2192,N1987,N2215,N79,N1092,N2374,N1835,N1631,N907,N1793,N1913,N2134,N3168,N1204,N1362,N344,N2779,N2430,N2726,N1525,N2425,N1375,N2087,N1489,N1374,N1219,N27,N1147,N2205,N2531,N1678,N1287,N226,N2229,N449,N1135,N113,N339,N1762,N788,N1367,N2834,N2768,N1687,N1416,N884,N1061,N1809,N1551,N2519,N2866,N3143,N2648,N3148,N280,N1151,N1346,N1505,N1363,N2245,N2568,N444,N2806,N2293,N1442,N3202,N3072,N1164,N2966,N1090,N2555,N1900,N996,N1153,N3293,N2569,N300,N275,N1686,N2234,N309,N2331,N1541,N3242,N3347,N2713,N1319,N2442,N1284,N2617,N2431,N2415,N304,N1588,N1261,N809,N2799,N2470,N1177,N1503,N1049,N3416,N1839,N2664,N2067,N1596,N908,N2133,N1705,N1243,N2077,N1001,N3097,N468,N2760,N863,N2934,N1965,N1538,N272,N1874,N2974,N3309,N1757,N1438,N1739,N291,N3236,N204,N1279,N105,N3209,N458,N3279,N840,N3099,N388,N2933,N3302,N903,N572,N1552,N1200,N3096,N2537,N639,N3432,N1553,N1263,N2662,N2250,N259,N2457,N714,N1933,N854,N2721,N1720,N2322,N3013,N2019,N1863,N3113,N508,N1262,N1510,N1794,N327,N171,N1994,N30,N2614,N2506,N1111,N2732,N1887,N1797,N2742,N1149,N1785,N3221,N3006,N2413,N2526,N1954,N1724,N3280,N2063,N763,N1293,N1055,N28,N2185,N626,N1949,N2807,N1148,N2924,N1285,N2064,N1132,N3219,N385,N1663,N1378,N837,N2925,N2618,N1320,N811,N2065,N1388,N3051,N3203,N2081,N1163,N1608,N927,N899,N2321,N625,N709,N2048,N675,N894,N2963,N2317,N2985,N1141,N753,N934,N1093,N352,N467,N3015,N2201,N134,N603,N832,N2955,N2883,N3071,N822,N404,N2901,N3016,N1932,N91,N839,N2505,N2793,N1507,N2344,N360,N1240,N2804,N652,N1982,N3101,N255,N1575,N617,N1029,N2076,N3393,N390,N2792,N766,N1929,N2694,N425,N2357,N1098,N1840,N3083,N3089,N1734,N792,N2922,N2902,N2865,N784,N3088,N3368,N51,N1034,N636,N154,N248,Average
N1971,1,3,2,3,2,1,3,3,2,3,2,1,1,3,1,2,3,1,3,3,3,1,2,3,2,3,2,2,2,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,3,3,2,1,1,3,2,1,3,1,3,3,2,3,3,3,3,1,3,1,1,3,1,2,3,2,3,3,1,1,3,2,1,1,3,1,3,2,3,2,3,1,3,1,3,3,3,3,3,1,1,3,2,3,1,1,1,3,1,3,2,3,2,1,3,1,3,2,3,3,1,3,1,1,3,1,1,3,3,2,1,3,4,3,3,3,1,3,1,2,1,1,1,1,3,3,1,1,2,1,2,3,1,1,3,3,3,1,3,1,3,1,1,3,2,1,1,2,3,2,3,2,3,3,1,3,3,3,1,1,3,3,1,2,1,1,2,1,1,1,3,3,3,1,1,1,1,2,3,3,1,1,1,1,1,2,3,3,3,2,3,2,1,1,1,1,2,1,3,3,3,1,1,3,1,3,1,1,3,3,3,1,3,3,1,1,3,3,1,3,1,3,3,3,1,1,1,3,3,1,1,1,3,1,1,2,2,1,3,3,1,3,3,1,2,2,1,2,1,1,2,1,1,3,3,3,3,3,3,1,3,1,3,3,2,1,3,2,2,3,2,2,3,1,3,2,1,3,3,3,1,3,1,1,1,3,1,2,3,1,3,1,3,3,1,1,3,1,1,1,1,3,1,3,3,3,3,2,1,3,2,2,2.018
N647,2,2,2,2,2,2,2,1,2,2,2,1,3,2,2,2,2,2,2,2,2,2,3,1,1,1,2,1,2,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,1,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,2,1,2,2,1,2,2,3,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,3,2,2,2,2,1,1,2,1,2,1,3,2,2,2,3,2,2,2,3,2,1,1,2,1,2,2,2,2,2,2,3,2,2,1,3,3,2,2,2,1,3,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,3,2,2,3,1,1,1,2,2,2,2,2,2,3,2,2,3,1,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,1,1,2,2,1,2,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,1,2,1,2,3,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1.947
N1721,1,3,2,3,2,1,3,3,1,3,1,1,1,3,1,2,3,1,3,3,3,1,2,3,2,3,2,1,1,1,1,2,3,1,1,1,1,1,3,1,1,1,3,2,3,3,2,1,1,3,1,1,3,1,3,3,2,3,3,3,3,1,1,1,1,3,1,1,3,2,3,3,1,1,3,2,1,1,3,1,3,2,3,2,1,1,3,1,3,3,3,3,3,1,1,3,3,3,3,1,1,3,1,3,2,3,1,1,1,3,2,3,2,3,3,1,3,1,1,2,1,3,3,1,1,3,4,3,3,3,1,3,1,2,1,1,2,1,3,3,1,1,2,1,2,3,1,3,3,3,1,3,1,3,1,1,3,2,1,1,1,3,2,3,2,3,3,2,3,3,3,1,2,3,3,1,2,1,3,2,1,1,1,3,3,3,1,1,3,1,1,3,3,1,1,1,1,1,2,3,1,3,2,3,2,1,1,1,1,2,3,3,3,3,1,1,3,3,3,1,3,1,2,3,3,2,1,3,3,1,1,3,3,1,3,1,3,3,3,1,1,1,3,3,2,1,1,1,1,1,2,2,1,3,3,1,3,3,1,2,1,1,1,1,1,2,1,1,3,3,3,3,3,3,1,3,1,3,3,1,1,3,2,2,3,1,2,3,1,3,1,1,3,3,1,1,3,1,1,1,3,2,1,3,1,3,1,3,3,1,1,3,1,1,1,3,1,3,3,3,3,2,1,3,2,1,1.996
N811,1,3,1,2,1,1,2,2,1,2,2,2,1,3,1,1,2,2,2,3,2,2,1,2,1,2,2,1,2,2,2,2,3,2,2,1,2,1,1,3,1,2,1,2,2,2,2,2,2,1,3,1,2,1,2,2,3,2,1,3,3,2,3,1,2,3,1,1,3,1,3,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,3,1,3,2,1,1,2,3,2,2,1,2,2,1,2,1,2,2,1,3,2,2,1,3,2,1,3,1,2,1,2,2,2,3,1,1,2,3,2,3,3,2,1,3,2,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,2,1,3,1,2,2,1,1,1,1,2,1,3,1,2,3,2,3,2,2,2,2,3,3,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,1,3,2,3,1,2,1,2,2,1,2,2,1,2,3,2,2,1,2,2,2,2,1,2,2,3,1,1,3,2,1,1,2,3,2,3,1,2,3,2,1,2,2,3,0,1,1,1,2,1,1,1,1,3,2,1,3,2,1,1,2,2,2,1,1,3,1,2,3,2,2,3,3,1,2,2,2,2,3,1,1,2,2,1,3,2,1,2,1,2,1,1,2,3,2,2,2,1,1,1,2,2,1,2,1,2,2,3,2,1,1,2,2,1,2,1,2,2,2,3,2,2,2,1,3,1,1,1.787
N1370,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,3,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,3,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,1,2,2,1,2,3,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,1,3,2,2,2,2,1,1,2,1,2,1,3,2,2,2,3,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,1,3,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,3,2,2,3,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,2,3,2,2,2,1,2,2,1,2,2,2,3,2,1,2,2,2,1,3,2,2,3,2,2,2,3,2,1,1,2,2,1,2,2,1,2,1,1,3,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,3,2,2,1,2,2,2,2,1,2,2,3,2,1,2,1,2,2,2,2,1,1,2,2,2,1.849
N2944,2,4,2,4,2,1,4,4,2,1,2,1,2,4,2,2,4,4,4,4,4,1,3,4,3,4,2,4,2,1,1,1,4,1,1,1,1,1,4,2,1,1,4,1,4,4,2,1,2,4,2,1,4,1,4,4,2,4,4,4,4,1,4,1,2,4,1,2,4,2,4,4,2,2,4,2,1,1,4,2,4,3,4,2,4,2,4,1,4,4,4,4,4,2,1,4,3,4,1,2,1,1,2,4,3,4,2,2,4,1,4,3,4,4,1,4,1,1,4,1,2,4,4,3,2,4,5,4,4,4,2,4,1,3,1,2,1,1,4,4,1,2,2,1,3,4,2,1,4,4,2,1,4,1,4,1,1,4,2,1,1,2,4,4,4,2,4,4,1,4,4,4,1,1,4,4,1,3,1,4,3,2,1,2,4,4,2,1,2,1,2,2,4,4,1,1,2,1,1,3,4,1,4,2,4,2,1,1,2,1,2,4,4,4,4,2,1,2,4,1,4,1,1,4,4,4,2,4,4,2,1,4,4,1,4,2,4,4,4,2,2,1,4,4,1,1,2,4,1,1,3,2,4,4,2,4,4,2,3,2,2,2,1,2,3,4,1,4,4,4,4,4,4,2,4,1,4,4,2,2,4,2,2,4,2,3,4,2,4,2,2,4,4,4,2,2,1,1,2,2,4,1,2,4,2,4,1,4,4,2,1,4,1,1,2,4,2,4,4,4,4,3,2,4,2,2,2.653
N1899,1,3,2,3,2,1,3,3,2,3,2,1,1,3,1,2,3,1,3,3,3,1,2,3,2,3,2,2,2,1,1,1,3,3,1,1,1,1,1,3,1,1,1,3,1,3,3,2,1,1,3,2,1,3,1,3,3,2,3,3,3,3,1,3,1,1,3,1,1,3,2,3,3,1,1,3,2,1,1,3,1,3,2,3,2,3,1,3,1,3,3,3,3,3,1,1,3,3,3,1,1,1,3,1,3,2,3,2,1,3,1,3,2,3,3,1,3,1,1,3,1,1,3,3,2,1,3,4,3,3,3,1,3,1,2,1,1,2,1,3,3,1,1,2,1,2,3,1,3,3,3,1,3,1,3,1,1,3,2,1,1,2,3,2,3,2,3,3,1,3,3,3,1,1,3,3,1,2,1,1,2,2,1,1,3,3,3,1,1,1,1,1,3,3,1,1,1,1,1,2,1,3,3,2,3,2,1,1,1,1,2,1,3,3,3,1,1,3,3,1,3,1,1,3,3,2,1,3,3,1,1,3,3,1,3,1,3,3,3,1,1,1,3,3,1,1,1,3,1,1,2,2,1,3,3,1,3,3,1,2,2,1,2,1,1,2,1,2,3,3,3,3,3,3,1,3,1,3,3,1,1,3,2,2,3,2,3,1,3,2,1,3,3,1,1,3,1,1,1,3,1,2,3,1,3,1,3,3,1,1,3,1,1,1,1,3,1,3,3,3,3,2,1,3,2,2,2.015
N1627,1,3,2,3,1,1,3,3,1,3,1,1,1,3,1,2,3,1,3,3,3,1,2,3,2,3,1,3,1,1,1,2,3,3,1,1,1,1,1,3,1,1,1,3,2,3,3,1,2,1,3,1,1,3,1,3,3,3,1,1,3,3,4,3,1,3,1,1,3,1,1,3,2,3,3,1,1,3,2,1,1,3,1,2,3,2,3,1,3,1,3,3,3,3,3,1,1,3,3,3,3,1,2,3,1,3,2,3,1,1,1,3,2,3,2,3,3,1,3,1,1,2,1,3,3,1,1,3,3,3,3,3,1,3,1,2,1,1,2,1,3,3,1,1,1,1,2,3,1,3,3,1,3,3,3,1,1,3,2,1,1,1,3,1,3,2,3,3,2,3,3,1,1,2,3,3,1,2,1,1,2,2,1,1,3,3,3,1,1,1,1,1,3,3,1,1,1,1,1,2,1,3,3,3,1,3,2,1,1,1,1,2,1,3,3,3,1,1,3,3,1,3,1,2,3,3,2,1,3,3,1,1,3,3,1,3,1,3,3,3,1,1,1,3,3,1,1,1,3,2,1,2,2,1,3,3,1,3,3,1,2,1,1,1,1,2,1,2,3,3,3,3,3,3,1,3,1,3,3,1,1,3,2,2,3,1,3,1,3,1,1,3,3,1,1,1,1,1,1,3,2,1,3,1,3,1,3,3,1,1,3,1,1,1,1,3,1,3,3,3,3,2,1,3,1,1,1.981
N1264,1,3,1,3,1,1,3,3,1,1,1,2,1,3,1,1,3,2,3,3,3,1,2,3,2,3,1,1,1,2,2,2,3,3,1,1,1,1,1,3,1,1,1,3,1,3,3,1,2,1,3,1,1,3,1,3,3,1,1,3,3,3,3,1,3,1,1,3,1,1,3,1,3,3,1,1,3,1,1,1,3,1,3,2,1,1,3,1,3,1,3,3,3,3,3,1,1,3,3,3,3,1,2,3,1,3,2,3,1,1,3,2,3,2,3,3,1,3,1,1,2,2,3,3,2,1,3,4,3,3,3,1,3,1,2,1,1,2,1,3,3,1,1,1,1,1,3,1,3,3,3,2,3,3,3,1,2,3,1,1,1,1,3,1,3,1,3,3,2,3,3,3,2,2,3,3,1,2,2,3,2,2,1,1,3,3,1,1,1,1,1,1,3,3,2,1,1,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,3,3,3,3,2,1,3,3,1,3,1,2,3,3,2,1,3,3,1,1,3,3,2,3,1,3,3,3,1,1,2,3,3,1,1,1,3,2,1,2,1,1,3,3,1,3,3,1,2,1,2,1,2,1,2,3,2,3,3,3,3,3,3,1,3,2,3,3,1,2,3,1,1,3,1,3,1,3,1,1,3,3,2,2,3,1,1,1,3,2,1,3,1,3,1,3,3,1,1,3,2,1,1,3,2,3,3,3,3,2,1,3,1,1,2.006
N2861,1,4,2,4,2,1,4,4,2,1,2,1,2,4,2,2,4,1,4,4,4,1,3,4,3,4,2,4,2,1,1,1,4,1,1,1,1,1,4,2,1,1,4,1,4,4,2,1,2,4,2,1,4,1,4,4,2,4,4,4,4,1,4,1,2,4,1,2,4,2,4,4,2,1,4,2,1,1,4,2,4,3,4,2,4,2,4,1,4,4,4,4,4,1,1,4,3,4,1,1,1,4,2,4,3,4,2,2,4,1,4,3,4,4,1,4,1,1,4,1,2,4,4,3,2,4,5,4,4,4,2,4,1,3,1,2,1,1,4,4,1,2,2,1,3,4,2,1,4,4,2,1,4,1,4,1,1,4,2,1,1,2,4,4,4,2,4,4,1,4,4,4,1,1,4,4,1,3,1,4,3,2,1,2,4,4,2,1,2,1,2,2,4,4,1,1,2,1,1,3,4,1,4,2,4,2,1,1,2,1,2,4,4,4,4,2,1,2,4,1,4,1,1,4,4,4,2,4,4,2,1,4,4,1,4,2,4,4,4,1,2,1,4,4,1,1,1,4,1,1,3,2,4,4,2,4,4,2,3,2,2,2,1,2,3,4,1,4,4,4,4,4,4,2,4,1,4,4,2,2,4,2,2,4,2,3,4,2,4,2,2,4,4,4,2,2,1,1,2,2,4,1,2,4,2,4,1,4,4,2,1,4,1,1,2,4,2,4,4,4,4,3,2,4,2,2,2.634
N1569,1,3,1,3,1,1,3,3,1,3,1,1,1,3,1,1,3,1,3,3,3,1,2,3,2,3,1,1,1,1,1,2,3,3,1,1,1,1,1,3,1,1,1,3,2,3,3,1,2,1,3,1,1,3,1,3,3,1,1,3,3,3,3,1,1,1,1,3,1,1,3,1,3,3,1,1,3,1,1,3,1,2,3,2,3,1,3,1,3,3,3,3,3,1,1,3,3,3,1,1,2,3,1,3,2,3,1,1,3,2,3,2,3,3,1,3,1,1,3,2,1,3,3,1,1,3,4,3,3,3,1,3,3,1,2,1,1,2,1,3,3,1,1,1,1,2,3,1,2,3,3,3,1,3,3,3,1,1,3,2,1,1,1,3,1,3,1,3,3,2,3,3,3,1,2,3,3,1,2,2,3,2,1,1,1,3,3,3,1,1,1,3,1,1,3,3,1,1,1,2,1,2,1,3,3,1,3,2,1,1,1,1,1,1,3,3,3,1,1,3,1,3,1,2,3,3,2,1,3,3,1,1,3,3,1,3,1,3,1,3,1,1,1,3,3,2,1,1,1,2,1,2,2,1,3,3,1,3,3,1,2,1,1,1,1,1,2,1,2,3,3,3,3,3,3,1,3,1,3,3,1,1,3,1,1,3,1,3,1,3,1,1,3,3,3,1,3,1,1,1,3,2,1,3,1,3,1,3,3,1,1,3,2,1,1,3,1,3,3,3,3,2,1,3,1,1,1.969
N425,3,1,2,1,2,3,1,2,1,2,4,3,4,3,1,3,2,1,1,1,1,1,4,2,1,2,1,3,2,3,4,4,4,1,4,4,3,3,3,1,3,4,3,1,4,1,1,3,4,3,1,1,4,1,4,1,1,3,1,1,1,1,1,1,3,3,1,3,2,1,2,1,1,3,3,1,3,3,4,3,1,3,1,2,3,2,1,3,1,4,1,1,1,1,1,3,3,1,2,1,1,3,4,4,3,1,2,1,1,3,4,1,2,1,1,3,1,4,3,4,3,1,1,2,3,1,1,1,1,3,1,1,4,2,3,3,4,3,1,1,3,3,3,3,2,1,3,1,1,1,4,3,1,3,4,1,3,4,3,2,1,1,1,2,1,1,4,1,1,2,4,4,1,1,3,2,4,1,2,3,3,3,1,1,1,4,3,2,1,3,3,1,1,4,3,3,4,2,2,1,3,1,2,1,1,2,4,4,3,4,3,1,1,1,1,3,4,1,1,4,1,3,4,1,1,1,3,1,1,2,3,1,1,4,1,1,3,1,2,1,3,3,4,1,1,4,3,3,3,4,3,2,2,1,1,2,1,1,2,2,3,3,4,3,2,3,3,1,1,1,1,1,1,3,1,4,1,1,2,3,1,3,1,2,1,3,2,1,3,1,2,3,1,1,4,3,2,3,3,2,3,1,4,2,1,3,1,4,0,1,3,3,1,4,3,3,1,3,1,1,1,1,3,1,2,2,2.153
N889,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,1,2,2,3,2,2,2,3,1,2,1,2,1,2,1,3,3,3,2,3,3,2,2,2,2,1,2,2,2,1,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,1,2,2,1,2,2,3,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,1,3,2,2,2,2,1,1,2,1,2,1,3,2,2,2,3,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,1,3,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,3,2,2,3,1,1,1,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,3,2,2,2,1,2,2,1,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,1,1,2,2,1,2,2,1,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,3,1,2,1,2,3,2,2,1,2,2,3,2,1,2,2,2,2,2,2,1,1,2,2,2,1.92
N2982,2,4,2,4,2,1,4,4,2,1,2,1,2,4,2,2,4,4,4,4,4,1,3,4,3,4,2,4,2,1,1,1,4,1,1,1,1,1,4,2,1,1,4,1,4,4,2,1,2,4,2,1,4,1,4,4,2,4,4,4,4,1,4,1,2,4,1,2,4,2,4,4,2,2,4,2,1,1,4,2,4,3,4,3,4,2,4,1,4,4,4,4,4,2,1,4,3,4,1,2,1,1,2,4,3,4,2,2,4,1,4,3,4,4,1,4,1,1,4,1,2,4,4,3,2,4,5,4,4,4,2,4,1,3,1,2,1,1,4,4,1,2,2,1,3,4,2,1,4,4,2,1,4,1,4,1,1,4,2,1,1,2,4,4,4,2,4,4,1,4,4,4,1,1,4,4,1,3,1,4,3,2,1,2,4,4,2,1,2,1,2,2,4,4,1,1,2,1,1,3,4,1,4,2,4,2,1,1,2,1,2,4,4,4,4,2,1,2,4,1,4,1,1,4,4,4,2,4,4,2,1,4,4,1,4,2,4,4,4,2,2,1,4,4,1,1,2,4,1,1,3,3,4,4,2,4,4,2,3,2,2,2,1,2,3,4,1,4,4,4,4,4,4,2,4,1,4,4,2,2,4,2,2,4,2,3,4,2,4,2,2,4,4,4,2,2,1,1,2,2,4,1,2,4,2,4,1,4,4,2,1,4,1,1,2,4,2,4,4,4,4,3,2,4,2,2,2.659
N2112,1,3,2,3,2,1,3,3,2,3,2,1,1,3,1,2,3,1,3,3,3,1,2,3,2,3,2,3,2,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,3,3,2,1,1,3,2,1,3,1,3,3,3,2,3,3,3,3,1,3,1,1,3,1,2,3,2,3,3,1,1,3,2,1,1,3,1,3,2,3,2,3,2,3,1,3,3,3,3,3,1,1,3,2,3,1,1,1,3,1,3,2,3,2,1,3,1,3,2,3,3,1,3,1,1,3,1,1,3,3,2,1,3,4,3,3,3,1,3,1,2,1,1,1,1,3,3,1,1,2,1,2,3,1,1,3,3,1,3,1,3,1,1,3,2,1,1,2,3,2,3,2,3,3,1,3,3,3,1,1,3,3,1,2,1,1,2,1,1,1,3,3,3,1,1,1,1,2,3,3,1,1,1,1,2,2,3,3,3,2,3,2,1,1,1,1,2,1,3,3,3,1,1,3,1,3,1,1,3,3,3,1,3,3,1,1,3,3,1,3,1,3,3,3,1,1,1,3,3,1,1,1,3,1,1,2,2,3,3,1,3,3,1,2,2,2,2,1,1,2,1,1,3,3,3,3,3,3,1,3,1,3,3,2,2,3,2,2,3,2,2,3,1,3,2,1,3,3,3,1,2,1,1,1,1,3,1,2,3,1,3,1,3,3,1,1,3,1,1,1,1,3,2,3,3,3,3,2,1,3,2,2,2.033
N2158,1,3,2,3,2,1,3,3,2,3,2,1,1,3,1,2,3,1,3,3,3,1,2,3,2,3,2,3,2,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,3,3,2,1,1,3,2,1,3,1,3,3,3,2,3,3,3,3,1,3,1,1,3,1,2,3,2,3,3,1,1,3,2,1,1,3,1,3,2,3,2,3,2,3,1,3,3,3,3,3,1,1,3,2,3,1,1,1,3,1,3,2,3,2,1,3,1,3,2,3,3,1,3,1,1,3,1,1,3,3,2,1,3,4,3,3,3,1,3,1,2,1,1,1,1,3,3,1,1,2,1,2,3,1,1,3,3,1,3,1,3,1,1,3,2,1,1,2,3,2,3,2,3,3,1,3,3,3,1,1,3,3,1,2,1,1,2,1,1,1,3,3,1,1,1,1,1,2,3,3,1,1,1,1,2,2,3,3,3,2,3,2,1,1,1,1,2,1,3,3,3,1,1,3,1,3,1,1,3,3,3,1,3,3,2,1,3,3,1,3,1,3,3,3,1,1,1,3,3,1,1,1,3,1,1,2,2,3,3,2,3,3,1,2,2,2,2,1,1,2,3,1,3,3,3,3,3,3,1,3,1,3,3,2,2,3,2,2,3,2,2,3,1,3,2,1,3,3,3,2,2,1,1,2,1,3,1,2,3,1,3,1,3,3,1,1,3,1,1,1,1,3,2,3,3,3,3,2,1,3,2,2,2.046
N524,2,2,2,2,2,2,2,1,2,1,3,2,3,2,2,2,2,2,2,2,2,2,3,1,1,1,2,1,1,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,1,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,2,1,2,2,2,2,2,3,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,3,2,2,2,2,1,1,2,1,2,2,3,2,2,2,3,2,2,2,3,2,1,1,2,1,2,2,2,2,2,2,3,2,2,1,3,3,2,2,2,1,3,3,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,3,2,2,3,1,1,1,2,2,2,2,2,2,3,3,2,3,1,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,1,1,2,2,1,2,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,1,2,1,2,3,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1.96
N2950,1,2,2,3,2,1,3,3,2,2,1,2,2,3,2,2,3,2,3,3,3,2,2,3,2,3,1,3,1,2,2,3,2,2,2,1,2,3,2,2,1,3,2,3,3,1,2,2,3,2,2,3,2,3,3,3,1,3,3,3,3,2,3,1,2,3,2,2,3,2,3,3,2,1,3,1,2,1,3,2,3,2,3,1,2,1,3,2,3,3,3,3,3,1,2,3,2,3,1,1,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,2,1,3,2,1,3,3,3,2,2,3,4,3,3,3,2,3,2,2,1,2,2,1,3,3,1,2,1,1,2,3,2,2,3,3,2,2,1,3,1,2,3,1,3,1,2,3,2,3,2,3,3,2,3,3,3,2,2,3,3,1,2,2,3,2,2,1,2,3,3,3,2,2,3,2,1,3,3,2,1,1,2,2,1,2,3,1,3,2,3,2,2,2,2,2,1,3,3,3,3,1,2,3,2,3,1,2,3,3,3,2,3,3,2,1,3,3,2,3,2,3,3,3,1,2,2,3,3,2,2,1,1,2,2,2,1,3,3,2,3,3,2,2,2,1,1,2,2,2,2,1,3,3,3,3,3,3,2,3,2,3,3,2,1,3,1,2,3,1,2,3,2,3,2,2,3,3,3,1,2,1,1,2,2,3,2,2,3,2,3,2,3,3,2,1,3,2,1,2,3,1,3,3,3,3,2,2,3,2,2,2.257
N3092,2,4,2,4,2,1,4,2,4,2,4,2,1,2,4,2,3,4,4,4,4,4,1,3,4,3,4,2,2,2,1,1,1,4,1,1,1,1,1,4,2,1,1,4,3,4,4,2,1,2,4,4,1,4,1,4,4,2,4,4,4,4,1,1,1,2,4,1,2,4,2,4,4,2,2,4,2,1,1,4,2,4,3,2,3,4,2,4,1,4,4,4,4,4,2,1,4,3,4,4,2,1,1,2,4,3,4,2,2,4,1,4,3,4,4,1,4,1,2,1,2,4,4,1,2,4,5,4,4,4,2,4,1,3,2,1,1,4,4,1,2,2,1,3,4,2,1,4,4,4,1,4,2,4,1,1,4,3,1,1,2,4,4,4,2,4,4,1,4,4,4,1,1,4,4,2,3,1,4,3,2,2,2,4,4,2,1,2,2,1,2,2,4,4,1,1,2,1,1,3,4,1,4,2,4,3,1,1,2,1,3,4,4,4,4,2,1,4,1,4,4,1,1,4,4,4,2,4,4,2,1,4,4,1,4,2,4,4,4,2,2,1,4,4,1,1,2,4,1,1,3,3,4,4,2,4,4,2,3,2,2,2,1,2,3,4,2,4,4,4,4,4,4,2,4,1,4,4,2,2,4,2,2,4,2,3,4,2,4,2,2,4,4,4,2,2,2,2,2,2,4,1,2,2,2,4,1,4,4,2,1,4,1,1,2,4,2,4,4,4,4,3,2,4,2,2,2.699
